lab_code	active	successor	name	short_name	city	country	url
URU	TRUE		University of Uruguay			Uruguay	
USGS	FALSE		USGS, Menlo Park			USA	
UTCAG	TRUE		University of Tennessee			USA	
UW	FALSE		University of Washington			USA	
UZH	TRUE		Geochronology Group, University of Zurich	Zurich	Zurich	Switzerland	https://www.geo.uzh.ch/en/units/gch.html
UtC	FALSE		Utrecht van de Graaff			Netherlands	
V	FALSE		Melbourne, Victoria			Australia	
VERA	TRUE		Vienna Environmental Research Accelerator, University of Vienna	VERA	Vienna	Austria	https://isotopenphysik.univie.ac.at/en/
VIE	TRUE		Higham Lab, University of Vienna	Higham Lab	Vienna	Austria	https://highamlab.univie.ac.at/
VRI	FALSE	VERA	Vienna Radium Institute, University of Vienna	Vienna Radium Institute	Vienna	Austria	
Vs	TRUE		Vilnius, Nat. Res. Ctr.		Vilnius	Lithuania	
W	FALSE		USGS, National Center			USA	
WAT	FALSE		University of Waterloo			Canada	
WB	NA		Institute for Preservation Technology of Cultural Relics			China	
WIS	FALSE		University of Wisconsin			USA	
WRD	FALSE		USGS Washington, D.C.			USA	
WSU	FALSE		Washington State Univ.			USA	
Wk	TRUE		University of Waikato			New Zealand	
X	FALSE		Whitworth College			USA	
XZ	NA		Xinjiang Institute of Disaster Prevention and Relief			China	
XLLQ	TRUE		Xi’an Lab. of China Loess & Quat. Geol.			China	
Y	FALSE		Yale University			USA	
YU	TRUE		Yamagata University			Japan	
Ya	FALSE		Yale University			USA	
Z	TRUE		Laboratory for Low-level Radioactivities, Ruđer Bošković Institute	Zagreb	Zagreb	Croatia	https://www.irb.hr/eng/Divisions/Division-of-Experimental-Physics/Laboratory-for-Low-level-Radioactivities
ZK	NA		Institute of Archaeology, Chinese Academy of Social Sciences			China	
