Id_site,Yacimiento,Localidad,Isla,Unidad geográfica,Latitud,Longitud,Tipo de yacimiento
196,Tederas,Santa Lucia de Tirajana,Gran Canaria,Oriental,27.912763,-15.534019,Fosa / Cista
197,Tejeleche 5 (cueva 1),Valle Gran Rey,La Gomera,Occidental,28.15067,-17.33454,Cueva
198,Teno Bajo 18,Masca,Tenerife,Occidental,28.3522,-16.92294,Aire libre / Conchero
199,Teno Bajo 41/1,Masca,Tenerife,Occidental,28.36296,-16.89895,Aire libre / Conchero
200,Teno Bajo 9B,Masca,Tenerife,Occidental,28.35485,-16.92206,Aire libre / Conchero
201,Tirajana,San Bartolomé de Tirajana,Gran Canaria,Oriental,27.92454,-15.57322,Cueva
202,Tufia,Telde,Gran Canaria,Oriental,27.96367,-15.379,Aire libre / poblado
203,Uchova,San Miguel de Abona,Tenerife,Occidental,28.10278,-16.62608,Cueva
204,Valle de Fermés,Fermés,Lanzarote,Oriental,28.88653,-13.76846,Aire libre
205,Zonzamas,Tahiche,Lanzarote,Oriental,29.009452,-13.58545,Aire libre / poblado
206,Barranco Tabaibales,Agaete,Gran Canaria,Oriental,28.07157,-15.71888,Fosa / Cista
207,Draguillo,Telde,Gran Canaria,Oriental,27.9519,-15.41734,Cueva
208,La Pardilla,Telde,Gran Canaria,Oriental,28.01302,-15.39118,Fosa / Cista
209,Guayedra,Agaete,Gran Canaria,Oriental,28.0879,-15.70377,Cueva
210,La Garita,Telde,Gran Canaria,Oriental,28.003,-15.38605,Fosa / Cista
211,Hoyo de Tocodomán,La Aldea de San Nicolás,Gran Canaria,Oriental,27.94261,-15.78632,Cueva
212,Caleta,Galdar,Gran Canaria,Oriental,28.1651,-15.65315,Fosa / Cista
213,Cueva de las Mejoras,Tijarefe,La Palma,Occidental,28.6929,-17.9478,Cueva
214,La Cucaracha,Mazo,La Palma,Occidental,28.58406,-17.78017,Cueva
215,Cueva de la Palmera,Tijarefe,La Palma,Occidental,28.68705,-17.9585,Cueva
216,Lomo de la Viñas I,Tijarefe,La Palma,Occidental,28.692204,-17.9476,Cueva
217,Teno Bajo 42,Masca,Tenerife,Occidental,28.36296,-16.89895,Aire libre / Conchero
218,Cruz de Tea,Las Cañadas,Tenerife,Occidental,28.25111,-16.67908,Aire libre / poblado
